"Parent Molecule ChEMBL ID";"Parent Molecule Name";"Parent Molecule Type";"Max Phase";"First Approval";"USAN Stem";"Smiles";"Mechanism of Action";"Mechanism Comment";"Selectivity Comment";"Target ChEMBL ID";"Target Name";"Action Type";"Target Type";"Target Organism";"Binding Site Name";"Binding Site Comment";"References";"Synonyms";"ATC Codes";"Level 4 ATC Codes";"Level 3 ATC Codes";"Level 2 ATC Codes";"Level 1 ATC Codes";"Parent Molecule ChEMBL ID"
"CHEMBL1401";"NITAZOXANIDE";"Small molecule";"4";"2002";"'-oxanide'";"CC(=O)Oc1ccccc1C(=O)Nc1ncc([N+](=O)[O-])s1";"Pyruvate:ferredoxin oxidoreductase inhibitor";"";"";"CHEMBL2364027";"Pyruvate:ferredoxin oxidoreductase";"INHIBITOR";"SINGLE PROTEIN";"Giardia intestinalis";"";"";"Type: DailyMed RefID: setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=56b1575a-dff4-4c5a-a159-2f858e7a0cb8";"Nitazoxanide (BAN, FDA, INN, MI, USAN, USP)|";"P01AX11";"P01AX - Other agents against amoebiasis and other protozoal diseases";"P01A - AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES";"P01 - ANTIPROTOZOALS";"P - ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS";"CHEMBL1401"
"CHEMBL651";"METHADONE";"Small molecule";"4";"1947";"";"CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1";"Mu opioid receptor agonist";"";"";"CHEMBL233";"Mu opioid receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=e6af84de-cbfc-4a3b-bd73-6bcf77337168#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=e6af84de-cbfc-4a3b-bd73-6bcf77337168#nlm34090-1";"Methadone HCl (FDA, JAN, MI, USP)|Methadone hydrochloride cii (USP)|Methadone (BAN, INN, MI)|";"N07BC02 | N02AC52";"N07BC - Drugs used in opioid dependence | N02AC - Diphenylpropylamine derivatives";"N07B - DRUGS USED IN ADDICTIVE DISORDERS | N02A - OPIOIDS";"N07 - OTHER NERVOUS SYSTEM DRUGS | N02 - ANALGESICS";"N - NERVOUS SYSTEM | N - NERVOUS SYSTEM";"CHEMBL651"
"CHEMBL659";"GALANTAMINE";"Small molecule";"4";"2001";"";"COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2";"Acetylcholinesterase inhibitor";"";"";"CHEMBL220";"Acetylcholinesterase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=bbdaf2f2-14e6-45c4-b807-5b22955444b0 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=bbdaf2f2-14e6-45c4-b807-5b22955444b0";"Galantamine hydrobromide (FDA, USAN)|Galantamine Hydrobromide (JAN, MI, USP)|Galantamine (BAN, INN, MI, USAN)|";"N06DA04";"N06DA - Anticholinesterases";"N06D - ANTI-DEMENTIA DRUGS";"N06 - PSYCHOANALEPTICS";"N - NERVOUS SYSTEM";"CHEMBL659"
"CHEMBL129";"ZIDOVUDINE";"Small molecule";"4";"1987";"'-vudine'";"Cc1cn([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)c(=O)[nH]c1=O";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=6df09f15-b102-431c-adde-d7aeef6f5d84 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6df09f15-b102-431c-adde-d7aeef6f5d84";"Zidovudine (BAN, FDA, INN, JAN, MI, USAN, USP)|";"J05AF01";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL129"
"CHEMBL34259";"METHOTREXATE";"Small molecule";"4";"1953";"'-trexate'";"CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1";"Dihydrofolate reductase inhibitor";"";"";"CHEMBL202";"Dihydrofolate reductase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=ec476b11-0b3c-4139-b1eb-a3daa76bc271 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=ec476b11-0b3c-4139-b1eb-a3daa76bc271";"Methotrexate (BAN, FDA, INN, JAN, MI, USAN, USP)|R-methotrexate (USP)|Methotrexate Sodium (FDA)|";"L04AX03 | L01BA01";"L04AX - Other immunosuppressants | L01BA - Folic acid analogues";"L04A - IMMUNOSUPPRESSANTS | L01B - ANTIMETABOLITES";"L04 - IMMUNOSUPPRESSANTS | L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS | L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL34259"
"CHEMBL4297723";"CEMIPLIMAB";"Antibody";"4";"2018";"'-mab'";"";"Programmed cell death protein 1 inhibitor";"Binds to the T-cell PD-1 receptor preventing it's interaction with the PD-L1 and PD-L2 ligands and removing inhibition of immune response. ";"";"CHEMBL3307223";"Programmed cell death protein 1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: FDA RefID: label/2018/761097s000lbl.pdf URL: https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761097s000lbl.pdf";"Cemiplimab (INN, USAN)|Cemiplimab-rwlc (FDA)|";"";"";"";"";"";"CHEMBL4297723"
"CHEMBL98";"VORINOSTAT";"Small molecule";"4";"2006";"'-stat'";"O=C(CCCCCCC(=O)Nc1ccccc1)NO";"Histone deacetylase 1 inhibitor";"";"";"CHEMBL325";"Histone deacetylase 1";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=cd86ee78-2781-468b-930c-3c4677bcc092#section-13";"Vorinostat (FDA, INN, JAN, MI, USAN)|";"L01XX38";"L01XX - Other antineoplastic agents";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL98"
"CHEMBL655";"MIDAZOLAM";"Small molecule";"4";"1985";"";"Cc1ncc2n1-c1ccc(Cl)cc1C(c1ccccc1F)=NC2";"GABA-A receptor; anion channel positive allosteric modulator";"";"";"CHEMBL2093872";"GABA-A receptor; anion channel";"POSITIVE ALLOSTERIC MODULATOR";"PROTEIN COMPLEX GROUP";"Homo sapiens";"Benzodiazepine binding site";"Benzodiazepine site";"Type: ISBN RefID: 9780702034718 PP. 497, 533 URL: http://www.isbnsearch.org/isbn/9780702034718|Type: Wikipedia RefID: Benzodiazepine URL: http://en.wikipedia.org/wiki/Benzodiazepine|Type: Wikipedia RefID: GABAA_receptor URL: http://en.wikipedia.org/wiki/GABAA_receptor|Type: Wikipedia RefID: Midazolam URL: http://en.wikipedia.org/wiki/Midazolam";"Midazolam (BAN, FDA, INN, JAN, MI, USP, JAN)|Midazolam civ (USP)|Midazolam Maleate (USAN)|Midazolam HCl (FDA, MI, USAN)|Midazolam hydrochloride civ (USP)|";"N05CD08";"N05CD - Benzodiazepine derivatives";"N05C - HYPNOTICS AND SEDATIVES";"N05 - PSYCHOLEPTICS";"N - NERVOUS SYSTEM";"CHEMBL655"
"CHEMBL602";"CYSTEAMINE";"Small molecule";"4";"1994";"";"NCCS";"Cystine reducing agent";"";"";"CHEMBL2364039";"Cystine";"REDUCING AGENT";"SMALL MOLECULE";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=b98ee838-ed23-42a9-93b5-72579e490fba#nlm34090-1 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=b98ee838-ed23-42a9-93b5-72579e490fba#nlm34090-1";"Cysteamine (MI, USAN)|Mercaptamine (BAN, DCF, INN)|Cysteamine Bitartrate (FDA, JAN, MI)|Cysteamine HCl (FDA, USAN)|";"A16AA04 | S01XA21";"A16AA - Amino acids and derivatives | S01XA - Other ophthalmologicals";"A16A - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | S01X - OTHER OPHTHALMOLOGICALS";"A16 - OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS | S01 - OPHTHALMOLOGICALS";"A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS";"CHEMBL602"
"CHEMBL1163";"ATAZANAVIR";"Small molecule";"4";"2003";"'-vir'";"COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)[C@@H](NC(=O)OC)C(C)(C)C)C(C)(C)C";"Human immunodeficiency virus type 1 protease inhibitor";"";"";"CHEMBL243";"Human immunodeficiency virus type 1 protease";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=165cff62-b284-4a27-a65d-9ec8a5bfcdd8 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=165cff62-b284-4a27-a65d-9ec8a5bfcdd8";"Atazanavir (BAN, INN, MI)|Atazanavir Sulfate (FDA, JAN, MI, USAN, USP)|";"J05AE08";"J05AE - Protease inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL1163"
"CHEMBL44884";"ETHAMBUTOL";"Small molecule";"4";"1967";"";"CC[C@@H](CO)NCCN[C@@H](CC)CO";"Arabinosyltransferase A inhibitor";"";"";"CHEMBL1877";"Arabinosyltransferase A";"INHIBITOR";"SINGLE PROTEIN";"Mycobacterium tuberculosis";"";"";"Type: PubMed RefID: 11854934 URL: http://europepmc.org/abstract/MED/11854934|Type: PubMed RefID: 16127055 URL: http://europepmc.org/abstract/MED/16127055|Type: PubMed RefID: 16595677 URL: http://europepmc.org/abstract/MED/16595677|Type: PubMed RefID: 16641474 URL: http://europepmc.org/abstract/MED/16641474|Type: PubMed RefID: 17630736 URL: http://europepmc.org/abstract/MED/17630736|Type: PubMed RefID: 19596878 URL: http://europepmc.org/abstract/MED/19596878|Type: Wikipedia RefID: Ethambutol_hydrochloride#Mechanism_of_action URL: http://en.wikipedia.org/wiki/Ethambutol_hydrochloride#Mechanism_of_action";"Ethambutol dihydrochloride (MI)|Ethambutol HCl (FDA, JAN, USAN, USP)|Ethambutol (BAN, INN, MI)|";"J04AK02";"J04AK - Other drugs for treatment of tuberculosis";"J04A - DRUGS FOR TREATMENT OF TUBERCULOSIS";"J04 - ANTIMYCOBACTERIALS";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL44884"
"CHEMBL1201798";"SEVELAMER";"Small molecule";"4";"2007";"'-mer'";"C=CCN.ClCC1CO1";"Unknown";"";"";"";"";"";"";"";"";"";"Type: FDA RefID: label/2011/022318s003,022127s008lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/022318s003,022127s008lbl.pdf";"Sevelamer Carbonate (FDA, MI, USAN)|Sevelamer (INN, MI)|";"V03AE02";"V03AE - Drugs for treatment of hyperkalemia and hyperphosphatemia";"V03A - ALL OTHER THERAPEUTIC PRODUCTS";"V03 - ALL OTHER THERAPEUTIC PRODUCTS";"V - VARIOUS";"CHEMBL1201798"
"CHEMBL33";"LEVOFLOXACIN";"Small molecule";"4";"1996";"'-oxacin'";"C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23";"Topoisomerase IV inhibitor";"";"";"CHEMBL2363033";"Topoisomerase IV";"INHIBITOR";"PROTEIN COMPLEX";"Streptococcus pneumoniae";"";"";"Type: DailyMed RefID: setid=a1f01e8e-97e9-11de-b91d-553856d89593 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=a1f01e8e-97e9-11de-b91d-553856d89593";"Levofloxacin (BAN, FDA, INN, JAN, USAN, USP)|Levofloxacin hydrate (JAN)|Ofloxacin s-(-)-form (MI)|Ofloxacin s-(-)-form hemihydrate (MI)|";"S01AE05 | J01MA12";"S01AE - Fluoroquinolones | J01MA - Fluoroquinolones";"S01A - ANTIINFECTIVES | J01M - QUINOLONE ANTIBACTERIALS";"S01 - OPHTHALMOLOGICALS | J01 - ANTIBACTERIALS FOR SYSTEMIC USE";"S - SENSORY ORGANS | J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL33"
"CHEMBL1487";"ATORVASTATIN";"Small molecule";"4";"1996";"'-stat-'";"CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O";"HMG-CoA reductase inhibitor";"";"";"CHEMBL402";"HMG-CoA reductase";"INHIBITOR";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=6ccdb6f3-22c7-5b48-46bc-ce4a4c65eb4d#section-13 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=6ccdb6f3-22c7-5b48-46bc-ce4a4c65eb4d#section-13";"Atorvastatin (BAN, INN, MI)|Atorvastatin Calcium (FDA, USAN, USP)|Atorvastatin calcium hydrate (JAN)|Atorvastatin calcium salt anhydrous (MI)|Atorvastatin calcium salt trihydrate (MI)|";"C10AA05";"C10AA - HMG CoA reductase inhibitors";"C10A - LIPID MODIFYING AGENTS, PLAIN";"C10 - LIPID MODIFYING AGENTS";"C - CARDIOVASCULAR SYSTEM";"CHEMBL1487"
"CHEMBL384467";"DEXAMETHASONE";"Small molecule";"4";"1958";"";"C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO";"Glucocorticoid receptor agonist";"";"";"CHEMBL2034";"Glucocorticoid receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 16891588 URL: http://europepmc.org/abstract/MED/16891588|Type: PubMed RefID: 16956592 URL: http://europepmc.org/abstract/MED/16956592|Type: PubMed RefID: 16971495 URL: http://europepmc.org/abstract/MED/16971495";"Dexamethasone (BAN, FDA, INN, JAN, MI, USP)|Dexamethasone Metasulfobenzoate Sodium (JAN)|Dexamethasone Palmitate (JAN)|Dexamethasone Valerate (JAN)|";"H02AB02 | D07XB05 | S01CB01 | D07AB19 | R01AD03 | S02BA06 | C05AA09 | D10AA03 | S01BA01 | R01AD53 | A01AC02 | S03BA01";"H02AB - Glucocorticoids | D07XB - Corticosteroids, moderately potent, other combinations | S01CB - Corticosteroids/antiinfectives/mydriatics in combination | D07AB - Corticosteroids, moderately potent (group II) | R01AD - Corticosteroids | S02BA - Corticosteroids | C05AA - Corticosteroids | D10AA - Corticosteroids, combinations for treatment of acne | S01BA - Corticosteroids, plain | R01AD - Corticosteroids | A01AC - Corticosteroids for local oral treatment | S03BA - Corticosteroids";"H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN | D07X - CORTICOSTEROIDS, OTHER COMBINATIONS | S01C - ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION | D07A - CORTICOSTEROIDS, PLAIN | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | S02B - CORTICOSTEROIDS | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | D10A - ANTI-ACNE PREPARATIONS FOR TOPICAL USE | S01B - ANTIINFLAMMATORY AGENTS | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | A01A - STOMATOLOGICAL PREPARATIONS | S03B - CORTICOSTEROIDS";"H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | S01 - OPHTHALMOLOGICALS | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | R01 - NASAL PREPARATIONS | S02 - OTOLOGICALS | C05 - VASOPROTECTIVES | D10 - ANTI-ACNE PREPARATIONS | S01 - OPHTHALMOLOGICALS | R01 - NASAL PREPARATIONS | A01 - STOMATOLOGICAL PREPARATIONS | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS";"H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | D - DERMATOLOGICALS | S - SENSORY ORGANS | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM | S - SENSORY ORGANS | C - CARDIOVASCULAR SYSTEM | D - DERMATOLOGICALS | S - SENSORY ORGANS | R - RESPIRATORY SYSTEM | A - ALIMENTARY TRACT AND METABOLISM | S - SENSORY ORGANS";"CHEMBL384467"
"CHEMBL121";"ROSIGLITAZONE";"Small molecule";"4";"1999";"'-glitazone'";"CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1";"Peroxisome proliferator-activated receptor gamma agonist";"";"Selective";"CHEMBL235";"Peroxisome proliferator-activated receptor gamma";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=28c31e58-0b27-43e2-bae0-9bbb21420e9f URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=28c31e58-0b27-43e2-bae0-9bbb21420e9f";"Rosiglitazone (BAN, INN, MI)|Rosiglitazone maleate (FDA, JAN, MI, USAN)|";"A10BG02";"A10BG - Thiazolidinediones";"A10B - BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS";"A10 - DRUGS USED IN DIABETES";"A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL121"
"CHEMBL563";"FLURBIPROFEN";"Small molecule";"4";"1986";"'-profen'";"CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1";"Cyclooxygenase inhibitor";"";"";"CHEMBL2094253";"Cyclooxygenase";"INHIBITOR";"PROTEIN FAMILY";"Homo sapiens";"";"";"Type: PubMed RefID: 10773011 URL: http://europepmc.org/abstract/MED/10773011|Type: PubMed RefID: 11006278 URL: http://europepmc.org/abstract/MED/11006278|Type: PubMed RefID: 11405284 URL: http://europepmc.org/abstract/MED/11405284|Type: PubMed RefID: 11811354 URL: http://europepmc.org/abstract/MED/11811354|Type: PubMed RefID: 12392782 URL: http://europepmc.org/abstract/MED/12392782|Type: PubMed RefID: 17562170 URL: http://europepmc.org/abstract/MED/17562170";"Flurbiprofen sodium (FDA, USP)|Flurbiprofen (BAN, FDA, INN, JAN, MI, USAN, USP)|";"R02AX01 | M01AE09 | S01BC04 | M02AA19";"R02AX - Other throat preparations | M01AE - Propionic acid derivatives | S01BC - Antiinflammatory agents, non-steroids | M02AA - Antiinflammatory preparations, non-steroids for topical use";"R02A - THROAT PREPARATIONS | M01A - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS | S01B - ANTIINFLAMMATORY AGENTS | M02A - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN";"R02 - THROAT PREPARATIONS | M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS | S01 - OPHTHALMOLOGICALS | M02 - TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN";"R - RESPIRATORY SYSTEM | M - MUSCULO-SKELETAL SYSTEM | S - SENSORY ORGANS | M - MUSCULO-SKELETAL SYSTEM";"CHEMBL563"
"CHEMBL1201772";"PRASUGREL";"Small molecule";"4";"2009";"'-grel'";"CC(=O)Oc1cc2c(s1)CCN(C(C(=O)C1CC1)c1ccccc1F)C2";"Purinergic receptor P2Y12 antagonist";"Irreversible inhibitor";"";"CHEMBL2001";"Purinergic receptor P2Y12";"ANTAGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: DailyMed RefID: setid=5fe9c118-c44b-48d7-a142-9668ae3df0c6 URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=5fe9c118-c44b-48d7-a142-9668ae3df0c6";"Prasugrel HCl (FDA, USAN)|Prasugrel (INN, MI)|";"B01AC22";"B01AC - Platelet aggregation inhibitors excl. heparin";"B01A - ANTITHROMBOTIC AGENTS";"B01 - ANTITHROMBOTIC AGENTS";"B - BLOOD AND BLOOD FORMING ORGANS";"CHEMBL1201772"
"CHEMBL131";"PREDNISOLONE";"Small molecule";"4";"1955";"'pred-'";"C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO";"Glucocorticoid receptor agonist";"";"";"CHEMBL2034";"Glucocorticoid receptor";"AGONIST";"SINGLE PROTEIN";"Homo sapiens";"";"";"Type: PubMed RefID: 19482847 URL: http://europepmc.org/abstract/MED/19482847|Type: PubMed RefID: 2879901 URL: http://europepmc.org/abstract/MED/2879901";"Prednisolone (BAN, FDA, INN, JAN, MI, USP)|";"S02BA03 | H02AB06 | S01BA04 | D07AA03 | R01AD02 | D07XA02 | A07EA01 | R01AD52 | C05AA04 | S01CB02 | S03BA02 | A01AC54";"S02BA - Corticosteroids | H02AB - Glucocorticoids | S01BA - Corticosteroids, plain | D07AA - Corticosteroids, weak (group I) | R01AD - Corticosteroids | D07XA - Corticosteroids, weak, other combinations | A07EA - Corticosteroids acting locally | R01AD - Corticosteroids | C05AA - Corticosteroids | S01CB - Corticosteroids/antiinfectives/mydriatics in combination | S03BA - Corticosteroids | A01AC - Corticosteroids for local oral treatment";"S02B - CORTICOSTEROIDS | H02A - CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN | S01B - ANTIINFLAMMATORY AGENTS | D07A - CORTICOSTEROIDS, PLAIN | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | D07X - CORTICOSTEROIDS, OTHER COMBINATIONS | A07E - INTESTINAL ANTIINFLAMMATORY AGENTS | R01A - DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE | C05A - AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE | S01C - ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION | S03B - CORTICOSTEROIDS | A01A - STOMATOLOGICAL PREPARATIONS";"S02 - OTOLOGICALS | H02 - CORTICOSTEROIDS FOR SYSTEMIC USE | S01 - OPHTHALMOLOGICALS | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | R01 - NASAL PREPARATIONS | D07 - CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS | A07 - ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS | R01 - NASAL PREPARATIONS | C05 - VASOPROTECTIVES | S01 - OPHTHALMOLOGICALS | S03 - OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS | A01 - STOMATOLOGICAL PREPARATIONS";"S - SENSORY ORGANS | H - SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS | S - SENSORY ORGANS | D - DERMATOLOGICALS | R - RESPIRATORY SYSTEM | D - DERMATOLOGICALS | A - ALIMENTARY TRACT AND METABOLISM | R - RESPIRATORY SYSTEM | C - CARDIOVASCULAR SYSTEM | S - SENSORY ORGANS | S - SENSORY ORGANS | A - ALIMENTARY TRACT AND METABOLISM";"CHEMBL131"
"CHEMBL1351";"CARBOPLATIN";"Small molecule";"4";"1989";"'-platin'";"";"DNA inhibitor";"";"";"CHEMBL2311221";"DNA";"INHIBITOR";"NUCLEIC-ACID";"Homo sapiens";"";"";"Type: FDA RefID: label/2012/077139Orig1s016lbl.pdf URL: http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/077139Orig1s016lbl.pdf";"Carboplatin (BAN, FDA, INN, JAN, MI, USAN, USP)|";"L01XA02";"L01XA - Platinum compounds";"L01X - OTHER ANTINEOPLASTIC AGENTS";"L01 - ANTINEOPLASTIC AGENTS";"L - ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS";"CHEMBL1351"
"CHEMBL885";"EMTRICITABINE";"Small molecule";"4";"2003";"'-citabine'";"Nc1nc(=O)n([C@@H]2CS[C@H](CO)O2)cc1F";"Human immunodeficiency virus type 1 reverse transcriptase inhibitor";"";"";"CHEMBL247";"Human immunodeficiency virus type 1 reverse transcriptase";"INHIBITOR";"SINGLE PROTEIN";"Human immunodeficiency virus 1";"";"";"Type: DailyMed RefID: setid=d6599395-3944-44f9-97f2-e0424c6b6a1f URL: http://dailymed.nlm.nih.gov/dailymed/lookup.cfm?setid=d6599395-3944-44f9-97f2-e0424c6b6a1f";"Emtricitabine (FDA, INN, JAN, MI, USAN, USP)|";"J05AF09";"J05AF - Nucleoside and nucleotide reverse transcriptase inhibitors";"J05A - DIRECT ACTING ANTIVIRALS";"J05 - ANTIVIRALS FOR SYSTEMIC USE";"J - ANTIINFECTIVES FOR SYSTEMIC USE";"CHEMBL885"
"CHEMBL1366";"AURANOFIN";"Small molecule";"4";"1985";"";"";"Unknown";"Mode of action not fully understood; it seems to interact with IKKB, which may play a role in its anti-rheumatic effects";"";"";"";"";"";"";"";"";"Type: PubMed RefID: 12754408 URL: http://europepmc.org/abstract/MED/12754408|Type: PubMed RefID: 17034761 URL: http://europepmc.org/abstract/MED/17034761";"Auranofin (BAN, FDA, INN, JAN, MI, USAN)|";"M01CB03";"M01CB - Gold preparations";"M01C - SPECIFIC ANTIRHEUMATIC AGENTS";"M01 - ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS";"M - MUSCULO-SKELETAL SYSTEM";"CHEMBL1366"
